"id","name","slug","url","categories","modified"
"96","Add Background to Image","add-image-background","https://alltoolsverse.com/tools/add-image-background/","image","2026-06-02T14:57:34Z"
"3284","Add Background to Screenshot","add-background-to-screenshot","https://alltoolsverse.com/tools/add-background-to-screenshot/","image","2026-07-01T22:32:57Z"
"113","Add Background to WebP - Fill Transparent Areas","add-webp-background","https://alltoolsverse.com/tools/add-webp-background/","webp","2026-06-02T15:11:47Z"
"97","Add Border to Image Online - Photo Frame Effect","add-image-border","https://alltoolsverse.com/tools/add-image-border/","image","2026-06-02T14:52:20Z"
"114","Add Border to WebP - Frame Your Image","add-webp-border","https://alltoolsverse.com/tools/add-webp-border/","webp","2026-06-02T15:12:10Z"
"101","Add Bullets to List Item","add-bullets-to-list-item","https://alltoolsverse.com/tools/add-bullets-to-list-item/","text","2026-05-24T11:00:09Z"
"88","Add Combining Characters","add-combining-characters","https://alltoolsverse.com/tools/add-combining-characters/","unicode","2026-05-24T11:00:10Z"
"89","Add Commas to Integer Online - Number Formatting","add-commas-to-an-integer","https://alltoolsverse.com/tools/add-commas-to-an-integer/","number","2026-06-02T15:44:23Z"
"1747","Add Days to Date Online","increment-calendar-date","https://alltoolsverse.com/tools/increment-calendar-date/","time","2026-06-15T14:28:43Z"
"94","Add Fuzziness to Clock Time Generator","add-fuzziness-to-clock-time","https://alltoolsverse.com/tools/add-fuzziness-to-clock-time/","time","2026-06-02T15:40:16Z"
"95","Add Hex Numbers","add-hex-numbers","https://alltoolsverse.com/tools/add-hex-numbers/","hex","2026-05-24T11:00:11Z"
"98","Add Image Effect Online - Apply Photo Effects","add-image-effect","https://alltoolsverse.com/tools/add-image-effect/","image","2026-06-02T14:53:38Z"
"1798","Add Line Numbers to Text","line-number-adder","https://alltoolsverse.com/tools/line-number-adder/","text","2026-06-15T14:28:53Z"
"103","Add List Prefix - Prepend Text","add-list-prefix","https://alltoolsverse.com/tools/add-list-prefix/","text","2026-05-24T11:00:11Z"
"105","Add Noise to Image","add-noise-to-image","https://alltoolsverse.com/tools/add-noise-to-image/","image","2026-06-02T15:24:08Z"
"91","Add Quotes to CSV Online - CSV Quote Wrapper","add-quotes-to-csv","https://alltoolsverse.com/tools/add-quotes-to-csv/","csv","2026-05-24T11:00:12Z"
"106","Add Rainbow Filter to Image","add-rainbow-filter-to-image","https://alltoolsverse.com/tools/add-rainbow-filter-to-image/","image","2026-06-04T21:10:51Z"
"107","Add Sepia Filter to Image - Vintage Photo Effect","add-sepia-filter-to-image","https://alltoolsverse.com/tools/add-sepia-filter-to-image/","image","2026-06-04T21:10:54Z"
"108","Add Stroke to Image","add-stroke-to-image","https://alltoolsverse.com/tools/add-stroke-to-image/","image","2026-06-04T21:10:58Z"
"104","Add Suffix to List Items","add-suffix-to-list-items","https://alltoolsverse.com/tools/add-suffix-to-list-items/","text","2026-05-24T11:00:13Z"
"109","Add Text to Image Online - Text on Photo","add-text-to-image","https://alltoolsverse.com/tools/add-text-to-image/","image","2026-06-02T15:27:03Z"
"110","Add Text to WEBP","add-text-to-webp","https://alltoolsverse.com/tools/add-text-to-webp/","webp","2026-06-02T15:25:06Z"
"1750","Add Time to Clock Online","increment-clock-time","https://alltoolsverse.com/tools/increment-clock-time/","time","2026-06-15T14:28:43Z"
"111","Add Watermark to Image","add-watermark-to-image","https://alltoolsverse.com/tools/add-watermark-to-image/","image","2026-06-02T15:23:32Z"
"115","Adjust Image Brightness Online - Brighten or Darken Photos","adjust-image-brightness","https://alltoolsverse.com/tools/adjust-image-brightness/","image","2026-06-04T21:11:01Z"
"116","Adjust Image Contrast Online - Photo Contrast Editor","adjust-image-contrast","https://alltoolsverse.com/tools/adjust-image-contrast/","image","2026-06-04T10:05:12Z"
"117","Adjust Image Hue Online - Rotate Image Colors","adjust-image-hue","https://alltoolsverse.com/tools/adjust-image-hue/","image","2026-06-02T14:29:59Z"
"118","Adjust Image Lightness Online - Lighten or Darken Photos","adjust-image-lightness","https://alltoolsverse.com/tools/adjust-image-lightness/","image","2026-05-24T11:00:51Z"
"119","Adjust Image Saturation Online - Increase Decrease Colors","adjust-image-saturation","https://alltoolsverse.com/tools/adjust-image-saturation/","image","2026-06-02T14:27:36Z"
"120","AES-256 Text Encryptor","aes-text-encryptor","https://alltoolsverse.com/tools/aes-text-encryptor/","security","2026-05-24T11:00:14Z"
"121","Affiliate Link Cloaker","affiliate-link-cloaker","https://alltoolsverse.com/tools/affiliate-link-cloaker/","marketing","2026-06-02T15:45:10Z"
"625","Age Calculator - Years, Months and Days","age-calculator-2","https://alltoolsverse.com/tools/age-calculator-2/","math","2026-06-03T08:45:18Z"
"1753","Age Difference Calculator","find-age-difference","https://alltoolsverse.com/tools/find-age-difference/","time","2026-06-15T14:28:51Z"
"3302","AI Token Counter","ai-token-counter","https://alltoolsverse.com/tools/ai-token-counter/","developer","2026-07-02T07:58:47Z"
"123","Alphabetize List Sort Items Online | A-Z","alphabetize-list","https://alltoolsverse.com/tools/alphabetize-list/","text","2026-05-24T11:00:15Z"
"124","Anagram Solver","anagram-solver","https://alltoolsverse.com/tools/anagram-solver/","text","2026-06-04T09:34:03Z"
"125","Analyze Calendar Date","analyze-calendar-date","https://alltoolsverse.com/tools/analyze-calendar-date/","time","2026-06-04T09:30:50Z"
"126","Analyze Clock Time","analyze-clock-time","https://alltoolsverse.com/tools/analyze-clock-time/","time","2026-06-04T09:30:48Z"
"127","Analyze Image","analyze-image","https://alltoolsverse.com/tools/analyze-image/","image","2026-06-02T15:54:45Z"
"128","Analyze Integers Online and Statistical Analysis","analyze-integers","https://alltoolsverse.com/tools/analyze-integers/","number","2026-06-17T08:41:41Z"
"129","Analyze JSON Online and Validate JSON Structure","analyze-json","https://alltoolsverse.com/tools/analyze-json/","json","2026-06-17T08:41:41Z"
"130","Analyze WebP Images","analyze-webp","https://alltoolsverse.com/tools/analyze-webp/","webp","2026-05-24T11:00:18Z"
"133","Android AssetLinks JSON Generator - App Links","android-assetlinks-json-generator","https://alltoolsverse.com/tools/android-assetlinks-json-generator/","developer","2026-06-04T09:36:42Z"
"645","Angle Converter - Degrees, Radians, Gradians","angle-converter","https://alltoolsverse.com/tools/angle-converter/","conversion","2026-06-03T09:47:35Z"
"134","Annotate Image - Add Labels to Photo","annotate-image","https://alltoolsverse.com/tools/annotate-image/","image","2026-05-24T11:00:19Z"
"135","Append CSV Columns","append-csv-columns","https://alltoolsverse.com/tools/append-csv-columns/","csv","2026-06-02T15:46:46Z"
"136","Append List Items - Merge Lists","append-list-items","https://alltoolsverse.com/tools/append-list-items/","text","2026-06-04T21:11:04Z"
"137","Apple App Site Association (AASA) Generator","apple-app-site-association-generator","https://alltoolsverse.com/tools/apple-app-site-association-generator/","seo","2026-06-04T10:05:14Z"
"138","Apply Dithering To Image","apply-dithering-to-image","https://alltoolsverse.com/tools/apply-dithering-to-image/","image","2026-06-02T15:00:03Z"
"634","Area Converter - Square Meters, Feet, Acres","area-converter","https://alltoolsverse.com/tools/area-converter/","conversion","2026-06-03T09:23:13Z"
"872","Article Schema Generator","article-schema-generator","https://alltoolsverse.com/tools/article-schema-generator/","seo","2026-06-05T12:10:22Z"
"1614","ASCII Art Generator Online","text-to-ascii-art","https://alltoolsverse.com/tools/text-to-ascii-art/","text","2026-06-15T14:28:53Z"
"817","ASCII Case Converter","ascii-case-converter","https://alltoolsverse.com/tools/ascii-case-converter/","ascii","2026-06-03T12:16:27Z"
"249","ASCII to Decimal Converter","convert-ascii-to-decimal","https://alltoolsverse.com/tools/convert-ascii-to-decimal/","ascii","2026-05-24T11:00:20Z"
"250","ASCII to Hex Converter","convert-ascii-to-hex","https://alltoolsverse.com/tools/convert-ascii-to-hex/","hex","2026-05-24T11:00:20Z"
"252","ASCII to HTML Entities Converter","convert-ascii-to-html-entities","https://alltoolsverse.com/tools/convert-ascii-to-html-entities/","ascii","2026-05-24T11:00:21Z"
"253","ASCII to Image Converter","convert-ascii-to-image","https://alltoolsverse.com/tools/convert-ascii-to-image/","ascii","2026-05-24T11:00:22Z"
"254","ASCII to Lowercase Converter","convert-ascii-to-lowercase","https://alltoolsverse.com/tools/convert-ascii-to-lowercase/","ascii","2026-05-24T11:00:22Z"
"255","ASCII to Morse Code Converter","convert-ascii-to-morse","https://alltoolsverse.com/tools/convert-ascii-to-morse/","ascii","2026-05-24T11:00:23Z"
"256","ASCII to Octal Converter","convert-ascii-to-octal","https://alltoolsverse.com/tools/convert-ascii-to-octal/","ascii","2026-05-24T11:00:23Z"
"257","ASCII to Unicode Converter","convert-ascii-to-unicode","https://alltoolsverse.com/tools/convert-ascii-to-unicode/","unicode","2026-05-24T11:00:24Z"
"258","ASCII to Uppercase Converter","convert-ascii-to-uppercase","https://alltoolsverse.com/tools/convert-ascii-to-uppercase/","ascii","2026-05-24T11:00:24Z"
"259","ASCII to UTF-8 Bytes Converter","convert-ascii-to-utf8","https://alltoolsverse.com/tools/convert-ascii-to-utf8/","ascii","2026-05-24T11:00:25Z"
"140","Aspect Ratio Calculator","aspect-ratio-calculator","https://alltoolsverse.com/tools/aspect-ratio-calculator/","image","2026-05-24T11:00:25Z"
"578","Auto Loan Calculator - Car Payment","auto-loan-calculator","https://alltoolsverse.com/tools/auto-loan-calculator/","financial","2026-06-02T18:42:58Z"
"3235","Barcode Generator","barcode-generator","https://alltoolsverse.com/tools/barcode-generator/","marketing","2026-07-01T19:36:30Z"
"3279","Barcode Reader","barcode-reader","https://alltoolsverse.com/tools/barcode-reader/","marketing","2026-07-01T22:32:57Z"
"141","Base32 Encoder/Decoder","base32-encoder","https://alltoolsverse.com/tools/base32-encoder/","developer","2026-05-24T11:00:26Z"
"260","Base32 to Hex Converter","convert-base32-to-hex","https://alltoolsverse.com/tools/convert-base32-to-hex/","hex","2026-05-24T11:00:26Z"
"142","Base58 Encoder/Decoder","base58-encoder","https://alltoolsverse.com/tools/base58-encoder/","developer","2026-05-24T11:00:27Z"
"261","Base58 to Hex Converter","convert-base58-to-hex","https://alltoolsverse.com/tools/convert-base58-to-hex/","hex","2026-05-24T11:00:27Z"
"148","Base64 Encoder and Decoder","base64-encoder-and-decoder","https://alltoolsverse.com/tools/base64-encoder-and-decoder/","developer","2026-05-24T11:00:27Z"
"144","Base64 Image Preview","base64-image-preview","https://alltoolsverse.com/tools/base64-image-preview/","image","2026-05-24T11:00:28Z"
"262","Base64 to ASCII Decoder","convert-base64-to-ascii","https://alltoolsverse.com/tools/convert-base64-to-ascii/","ascii","2026-05-24T11:00:28Z"
"263","Base64 to CSV Decoder","convert-base64-to-csv","https://alltoolsverse.com/tools/convert-base64-to-csv/","csv","2026-05-24T11:00:28Z"
"264","Base64 to Hex Decoder","convert-base64-to-hex","https://alltoolsverse.com/tools/convert-base64-to-hex/","hex","2026-06-04T21:11:09Z"
"146","Base64 to Image Decoder And Previewer","base64-to-image","https://alltoolsverse.com/tools/base64-to-image/","image","2026-05-24T11:00:29Z"
"265","Base64 to JSON Decoder","convert-base64-to-json","https://alltoolsverse.com/tools/convert-base64-to-json/","json","2026-06-04T21:11:11Z"
"147","Base64 to PDF Decoder And Viewer","base64-to-pdf","https://alltoolsverse.com/tools/base64-to-pdf/","document","2026-06-04T09:54:37Z"
"266","Base64 to UTF-8 Decoder","convert-base64-to-utf8","https://alltoolsverse.com/tools/convert-base64-to-utf8/","utf8","2026-06-04T21:11:14Z"
"267","Base64 to WebP Decoder","convert-base64-to-webp","https://alltoolsverse.com/tools/convert-base64-to-webp/","webp","2026-06-04T21:11:16Z"
"149","BBCode to HTML Converter","bbcode-to-html","https://alltoolsverse.com/tools/bbcode-to-html/","developer","2026-05-24T11:00:31Z"
"268","BCD to Decimal Converter","convert-bcd-to-decimal","https://alltoolsverse.com/tools/convert-bcd-to-decimal/","binary","2026-06-04T21:11:19Z"
"269","BCD to Hex Converter","convert-bcd-to-hex","https://alltoolsverse.com/tools/convert-bcd-to-hex/","hex","2026-06-04T21:11:22Z"
"271","BCD to Octal Converter","convert-bcd-to-octal","https://alltoolsverse.com/tools/convert-bcd-to-octal/","binary","2026-06-04T21:11:24Z"
"150","Bcrypt Generator And Hash Verifier","bcrypt-generator","https://alltoolsverse.com/tools/bcrypt-generator/","security","2026-05-24T11:00:32Z"
"151","Binary to Decimal Converter","binary-to-decimal","https://alltoolsverse.com/tools/binary-to-decimal/","binary","2026-05-24T11:00:32Z"
"273","Binary to Gray Code Converter","convert-binary-to-gray-code","https://alltoolsverse.com/tools/convert-binary-to-gray-code/","binary","2026-05-24T11:00:32Z"
"275","Binary to Image Converter","convert-binary-to-image","https://alltoolsverse.com/tools/convert-binary-to-image/","binary","2026-06-04T21:11:30Z"
"276","Binary to IP Converter","convert-binary-to-ip","https://alltoolsverse.com/tools/convert-binary-to-ip/","binary","2026-06-04T21:11:32Z"
"277","Binary to IPv6 Converter","convert-binary-to-ipv6","https://alltoolsverse.com/tools/convert-binary-to-ipv6/","binary","2026-06-04T21:11:35Z"
"278","Binary to Negabinary Converter","convert-binary-to-negabinary","https://alltoolsverse.com/tools/convert-binary-to-negabinary/","binary","2026-06-04T21:11:37Z"
"280","Binary to String Converter","convert-binary-to-string","https://alltoolsverse.com/tools/convert-binary-to-string/","binary","2026-06-04T21:11:43Z"
"281","Binary to UTF-8 Decoder","binary-to-utf8-decoder","https://alltoolsverse.com/tools/binary-to-utf8-decoder/","utf8","2026-06-04T21:11:45Z"
"154","Bionic Reading Converter","bionic-reading-converter","https://alltoolsverse.com/tools/bionic-reading-converter/","text","2026-05-24T11:00:35Z"
"155","Blur Face in Image","blur-face-in-image","https://alltoolsverse.com/tools/blur-face-in-image/","image","2026-05-24T11:00:35Z"
"156","Blur Image","blur-image","https://alltoolsverse.com/tools/blur-image/","image","2026-05-24T11:00:35Z"
"157","Blur License Plate in Image","blur-license-plate-in-image","https://alltoolsverse.com/tools/blur-license-plate-in-image/","image","2026-05-24T11:00:36Z"
"158","Blur WebP Image","blur-webp","https://alltoolsverse.com/tools/blur-webp/","webp","2026-05-24T11:00:36Z"
"586","BMR Calculator - Daily Calorie Needs","bmr-calculator","https://alltoolsverse.com/tools/bmr-calculator/","health","2026-06-02T19:25:01Z"
"588","Body Fat Calculator - US Navy Method","body-fat-calculator","https://alltoolsverse.com/tools/body-fat-calculator/","health","2026-06-02T19:31:50Z"
"3289","Business Card Generator","business-card-generator","https://alltoolsverse.com/tools/business-card-generator/","image","2026-07-01T22:32:57Z"
"168","Calculate Average Calendar Date","calculate-average-calendar-date","https://alltoolsverse.com/tools/calculate-average-calendar-date/","time","2026-05-24T11:00:37Z"
"169","Calculate Average Clock Time","calculate-average-clock-time","https://alltoolsverse.com/tools/calculate-average-clock-time/","time","2026-05-24T11:00:37Z"
